site,year,block,plot,functionalgroup,mass
Sandhills,2019,1,1,Litter,515.65
Sandhills,2019,1,1,Pine_Needles,145.25
Sandhills,2019,1,1,Graminoid,87.25
Sandhills,2019,1,1,Woody,2.2
Sandhills,2019,1,1,Forb,26.6
Sandhills,2019,1,1,Legume,8.7
Sandhills,2019,1,2,Litter,469.6
Sandhills,2019,1,2,Pine_Needles,170.05
Sandhills,2019,1,2,Graminoid,459.8
Sandhills,2019,1,2,Woody,5.05
Sandhills,2019,1,2,Forb,15.1
Sandhills,2019,1,2,Legume,17.55
Sandhills,2019,1,3,Litter,178.1
Sandhills,2019,1,3,Pine_Needles,183.55
Sandhills,2019,1,3,Graminoid,369.55
Sandhills,2019,1,3,Woody,6.55
Sandhills,2019,1,3,Forb,31.85
Sandhills,2019,1,3,Legume,1.15
Sandhills,2019,1,4,Litter,568.5
Sandhills,2019,1,4,Pine_Needles,209.3
Sandhills,2019,1,4,Graminoid,79.65
Sandhills,2019,1,4,Woody,2.7
Sandhills,2019,1,4,Forb,11.75
Sandhills,2019,1,4,Legume,1.95
Sandhills,2019,1,5,Litter,210.25
Sandhills,2019,1,5,Pine_Needles,218.85
Sandhills,2019,1,5,Graminoid,13.45
Sandhills,2019,1,5,Woody,1.35
Sandhills,2019,1,5,Forb,12.55
Sandhills,2019,1,5,Legume,8.5
Sandhills,2019,1,6,Litter,377.45
Sandhills,2019,1,6,Pine_Needles,296.05
Sandhills,2019,1,6,Graminoid,182.8
Sandhills,2019,1,6,Woody,3.3
Sandhills,2019,1,6,Forb,22.8
Sandhills,2019,1,7,Litter,337.85
Sandhills,2019,1,7,Pine_Needles,234.7
Sandhills,2019,1,7,Graminoid,67.95
Sandhills,2019,1,7,Woody,6.1
Sandhills,2019,1,7,Forb,24.7
Sandhills,2019,1,7,Legume,0.95
Sandhills,2019,1,8,Litter,318.65
Sandhills,2019,1,8,Pine_Needles,159.6
Sandhills,2019,1,8,Graminoid,58.6
Sandhills,2019,1,8,Woody,17.75
Sandhills,2019,1,8,Forb,10.65
Sandhills,2019,1,8,Legume,1.4
Sandhills,2019,1,9,Litter,849.8
Sandhills,2019,1,9,Pine_Needles,123.85
Sandhills,2019,1,9,Graminoid,30.9
Sandhills,2019,1,9,Woody,7.2
Sandhills,2019,1,9,Forb,9.85
Sandhills,2019,1,9,Legume,2.5
Sandhills,2019,1,10,Litter,345.6
Sandhills,2019,1,10,Pine_Needles,131.2
Sandhills,2019,1,10,Graminoid,59.1
Sandhills,2019,1,10,Woody,13.05
Sandhills,2019,1,10,Forb,31.05
Sandhills,2019,1,10,Legume,64.15
Sandhills,2019,2,11,Litter,732.05
Sandhills,2019,2,11,Pine_Needles,68.3
Sandhills,2019,2,11,Graminoid,179
Sandhills,2019,2,11,Woody,14.8
Sandhills,2019,2,11,Forb,41.95
Sandhills,2019,2,11,Legume,23.1
Sandhills,2019,2,12,Litter,505.1
Sandhills,2019,2,12,Pine_Needles,116.15
Sandhills,2019,2,12,Graminoid,176.25
Sandhills,2019,2,12,Woody,10.25
Sandhills,2019,2,12,Forb,6.9
Sandhills,2019,2,12,Legume,0.5
Sandhills,2019,2,13,Litter,670.1
Sandhills,2019,2,13,Pine_Needles,294.25
Sandhills,2019,2,13,Graminoid,28.45
Sandhills,2019,2,13,Woody,10.15
Sandhills,2019,2,13,Forb,40.9
Sandhills,2019,2,14,Litter,773.35
Sandhills,2019,2,14,Pine_Needles,289.05
Sandhills,2019,2,14,Graminoid,189
Sandhills,2019,2,14,Woody,45.1
Sandhills,2019,2,14,Forb,32.2
Sandhills,2019,2,15,Litter,503.5
Sandhills,2019,2,15,Pine_Needles,273.1
Sandhills,2019,2,15,Graminoid,276.25
Sandhills,2019,2,15,Woody,2.25
Sandhills,2019,2,15,Forb,28.2
Sandhills,2019,2,16,Litter,389.6
Sandhills,2019,2,16,Pine_Needles,355.2
Sandhills,2019,2,16,Graminoid,37.9
Sandhills,2019,2,16,Woody,8.4
Sandhills,2019,2,16,Forb,21.15
Sandhills,2019,2,16,Legume,0.1
Sandhills,2019,2,17,Litter,559.5
Sandhills,2019,2,17,Pine_Needles,218.5
Sandhills,2019,2,17,Graminoid,55.45
Sandhills,2019,2,17,Woody,15.9
Sandhills,2019,2,17,Forb,15.65
Sandhills,2019,2,17,Legume,0.05
Sandhills,2019,2,18,Litter,385.25
Sandhills,2019,2,18,Pine_Needles,224.5
Sandhills,2019,2,18,Graminoid,5.05
Sandhills,2019,2,18,Woody,11.15
Sandhills,2019,2,18,Forb,54.35
Sandhills,2019,2,18,Legume,60
Sandhills,2019,2,19,Litter,379.75
Sandhills,2019,2,19,Pine_Needles,158.35
Sandhills,2019,2,19,Graminoid,57.7
Sandhills,2019,2,19,Woody,15.15
Sandhills,2019,2,19,Forb,2.65
Sandhills,2019,2,19,Legume,1.95
