block,plot,year,timepoint,site,taxa,cover,date,note_cover
1,1,2019,Early,Sandhills,Aristida_stricta,18,7/17/2019,
1,1,2019,Early,Sandhills,Chamaecrista_nictitans,3,7/17/2019,
1,1,2019,Early,Sandhills,Chrysopsis_mariana,2,7/17/2019,
1,1,2019,Early,Sandhills,Dichanthelium_acuminatum,6,7/17/2019,
1,1,2019,Early,Sandhills,Euphorbia_spp,5,7/17/2019,most likely Euphorbia_pubentissima
1,1,2019,Early,Sandhills,Lespedeza_hirta,1,7/17/2019,
1,1,2019,Early,Sandhills,Liatris_cokeri,2,7/17/2019,
1,1,2019,Early,Sandhills,Parthenium_integrifolium_mabryanum,26,7/17/2019,
1,1,2019,Early,Sandhills,Pteridium_aquilinum,5,7/17/2019,
1,1,2019,Early,Sandhills,Symphyotrichum_walteri,2,7/17/2019,
1,1,2019,Early,Sandhills,Vaccinium_tenellum,3,7/17/2019,
1,1,2019,Late,Sandhills,Aristida_stricta,32,9/21/2019,
1,1,2019,Late,Sandhills,Bare_ground,17,9/21/2019,
1,1,2019,Late,Sandhills,Chamaecrista_nictitans,21,9/21/2019,
1,1,2019,Late,Sandhills,Chrysopsis_mariana,3,9/21/2019,
1,1,2019,Late,Sandhills,Dichanthelium_acuminatum,9,9/21/2019,
1,1,2019,Late,Sandhills,Euphorbia_spp,4,9/21/2019,most likely Euphorbia_pubentissima
1,1,2019,Late,Sandhills,Liatris_cokeri,5,9/21/2019,
1,1,2019,Late,Sandhills,Litter,20,9/21/2019,
1,1,2019,Late,Sandhills,Morella_cerifera_pumila,1,9/21/2019,
1,1,2019,Late,Sandhills,Overstory,50,9/21/2019,
1,1,2019,Late,Sandhills,Parthenium_integrifolium_mabryanum,40,9/21/2019,
1,1,2019,Late,Sandhills,Pinus_palustris,1,9/21/2019,grass stage
1,1,2019,Late,Sandhills,Pteridium_aquilinum,13,9/21/2019,
1,1,2019,Late,Sandhills,Stylosanthes_biflora,3,9/21/2019,
1,1,2019,Late,Sandhills,Symphyotrichum_walteri,6,9/21/2019,
1,1,2019,Late,Sandhills,Unknown_moss,6,9/21/2019,most likely Syntrichia_ruralis
1,1,2019,Late,Sandhills,Vaccinium_tenellum,26,9/21/2019,
1,1,2020,Early,Sandhills,Aristida_stricta,22,6/22/2020,
